,Classification as urban/semi-urban/rural_one-hot,log_Population,water_source_category_one-hot,log_angle,#status_id_one-hot,log_days_passed,#adm2_one-hot,log_dist,#pay_one-hot,water_tech_category_one-hot,Water demand (lpcd)_one-hot
0,0,19.343907871342576,0,9.966469279504981,0,11.388017285345136,0,9.976453345806629,0,0,0
1,1,17.471317988848764,1,9.966516334881096,0,11.381002109550925,1,9.976761439328891,0,0,1
2,2,16.842816825821775,0,9.966563836068499,1,11.375582512490507,2,9.976714165905147,0,0,2
3,1,17.471317988848764,0,9.966563836068499,0,11.382083590141967,1,9.976841528381888,0,0,1
4,1,17.471317988848764,0,9.966563836068499,0,11.379919817646538,1,9.976903410870825,0,0,1
5,0,20.055108963112,0,9.966449685430842,0,11.382624026574916,3,9.976430219906511,1,0,0
6,2,16.842816825821775,0,9.966563836068499,1,11.375582512490507,2,9.976716997551707,0,0,2
7,0,19.343907871342576,0,9.966469347667003,0,11.391780606013166,0,9.976467055511085,0,0,0
8,1,19.031364673912268,0,9.966493409849715,0,11.379919817646538,4,9.976674284489013,0,1,1
9,0,18.814792101059343,0,9.966456446285097,0,11.38855550398256,5,9.976440940209915,1,0,0
10,0,19.19059634247564,0,9.966438534374824,1,11.389631339260522,6,9.976037021064482,0,0,0
11,1,17.88128725917145,0,9.966400777637627,0,11.386401423640777,7,9.976036872248883,0,0,1
12,1,17.471317988848764,0,9.966552165049011,0,11.381002109550925,1,9.976818795983377,0,0,1
13,0,18.27857650155584,0,9.966479012448099,1,11.390706372872774,8,9.976300629218375,0,0,0
14,0,19.273083016109847,0,9.966468121903072,1,11.384244122243079,9,9.976335019902887,0,0,0
15,2,18.257337195723156,0,9.966457330359267,0,11.392854039872873,10,9.976468098436643,0,0,2
16,1,17.471317988848764,1,9.966530912285933,0,11.381542951184585,1,9.976743684746303,0,0,1
17,0,20.055108963112,0,9.966452374453212,0,11.381542951184585,3,9.976335622892739,0,0,0
18,0,20.055108963112,0,9.966451887246611,0,11.379378367071261,3,9.976255585978803,0,0,0
19,1,19.031364673912268,0,9.966488091474258,0,11.382083590141967,4,9.976544808783672,0,0,1
20,0,18.814792101059343,0,9.966454324867938,0,11.391243589427443,5,9.97641625519838,0,0,0
21,1,17.471317988848764,0,9.966560264570571,1,11.379919817646538,1,9.976929254571179,0,0,1
22,0,20.055108963112,0,9.9664543182869,1,11.37775279502222,3,9.97630353437244,0,0,0
23,2,18.257337195723156,1,9.966458979559258,1,11.392854039872873,10,9.976414767688718,0,0,2
24,1,17.88128725917145,0,9.966402428461617,0,11.387478865842379,7,9.975972588418507,0,0,1
25,1,17.88128725917145,0,9.966431741544314,1,11.386401423640777,7,9.976015062490232,0,0,1
26,0,20.055108963112,0,9.96644786510979,0,11.381542951184585,3,9.976391284235302,0,0,0
27,0,19.343907871342576,0,9.966469124355323,0,11.391243589427443,0,9.976442393559019,1,0,0
28,0,19.273083016109847,0,9.966468486534874,1,11.384244122243079,9,9.976352449058384,0,0,0
29,2,17.677726522610563,0,9.966483777722734,0,11.386940245324311,11,9.976261311881828,0,2,2
30,0,20.055108963112,0,9.966452509949892,0,11.37775279502222,3,9.97635009611262,0,0,0
31,2,16.842816825821775,0,9.966563836068499,0,11.378294855911891,2,9.976624917787754,0,2,2
32,0,18.62039167379828,0,9.96647681123314,0,11.384783750093353,12,9.976337075903048,0,0,0
33,0,20.055108963112,0,9.966454360566974,0,11.37775279502222,3,9.976304729834562,0,0,0
34,2,18.135498877734953,1,9.966491886278678,0,11.38586240064146,13,9.976273922794,0,0,2
35,0,18.70998575359596,0,9.966451672346581,1,11.390706372872774,14,9.976481723797901,0,0,0
36,1,17.471317988848764,0,9.966560161267568,1,11.379919817646538,1,9.976929254571179,0,2,1
37,1,17.471317988848764,1,9.96651859985006,0,11.381542951184585,1,9.976728435633142,0,0,1
38,0,19.19059634247564,0,9.966441349096549,1,11.389631339260522,6,9.976057075699945,0,0,0
39,2,16.842816825821775,0,9.966563836068499,1,11.391243589427443,2,9.976678263240911,0,0,2
40,0,20.055108963112,0,9.966452299451829,1,11.381542951184585,3,9.976335376566968,0,0,0
41,0,20.055108963112,0,9.96647516803619,0,11.390168956200183,15,9.976214292650496,0,0,0
42,0,18.94423449185459,0,9.96647101488925,0,11.375582512490507,16,9.976288258081288,1,2,0
43,2,17.677726522610563,1,9.966482004509913,1,11.38855550398256,11,9.976270827698318,0,0,2
44,0,18.814792101059343,0,9.966451933810156,0,11.389631339260522,5,9.97642489693399,0,0,0
45,2,16.842816825821775,0,9.966563836068499,0,11.37775279502222,2,9.976588051161349,0,2,2
