LGA,Population
Alimosho,11456783
Ajeromi-Ifelodun,2000346
Kosofe,665421
Mushin,633543
Oshodi-Isolo,1621789
Ojo,598336
Ikorodu,535811
Surulere,504409
Agege,461123
Ifako-Ijaiye,428812
Somolu,402992
Amuwo-Odofin,318576
Lagos Mainland,317980
Ikeja,313333
Eti-Osa,287958
Badagry,241437
Apapa,217661
Lagos Island,209665
Epe,181715
Ibeju-Lekki,117542
